# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "6" "-s" "0" "-Q" "10" "-a" "GRCh38.gtf" "-o" "counts/GM12878_Rep2_featureCounts.txt" "alignments.sorted.bam" 	# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "8" "-s" "0" "-Q" "10" "-a" "GRCh38.gtf" "-o" "counts/GM12878_Rep3_featureCounts.txt" "alignments.sorted.bam" 	# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "8" "-s" "0" "-Q" "10" "-a" "GRCh38.gtf" "-o" "counts/GSE228167_Rep2_featureCounts.txt" "alignments.namesorted.bam" 	
Geneid	alignments.sorted.bam	alignments.sorted.bam	alignments.namesorted.bam	alignments.namesorted.bam	alignments.namesorted.bam
ENSG00000279928	0	0	0	0	0
ENSG00000228037	93	79	115	120	101
ENSG00000142611	0	0	0	1	1
ENSG00000284616	0	0	0	0	0
ENSG00000157911	190	125	374	414	348
ENSG00000269896	20	9	11	7	15
ENSG00000228463	13	19	3	6	8
ENSG00000260972	0	0	0	0	0
ENSG00000224340	5	4	0	0	0
ENSG00000226374	0	2	0	0	0
ENSG00000229280	0	0	0	0	0
ENSG00000142655	312	202	1140	1092	1022
ENSG00000232596	0	0	0	0	0
ENSG00000235054	0	0	0	0	0
ENSG00000231510	0	1	10	2	7
ENSG00000149527	41	15	14	13	4
ENSG00000284739	0	0	0	0	0
ENSG00000171621	20	99	11	11	6
ENSG00000272235	0	1	0	0	0
ENSG00000284694	0	0	0	0	0
ENSG00000224387	2	2	0	0	0
ENSG00000142583	2181	1557	760	759	756
ENSG00000284674	0	0	0	0	0
ENSG00000224338	0	0	0	0	0
ENSG00000287727	9	19	2	0	1
ENSG00000286448	0	0	0	0	0
ENSG00000284703	0	2	0	1	0
ENSG00000226457	5	16	3	2	0
ENSG00000173614	288	214	319	295	266
ENSG00000215720	0	1	0	0	0
ENSG00000241326	0	0	0	0	0
ENSG00000233623	6	7	0	0	0
ENSG00000162592	0	1	0	0	0
ENSG00000204624	2	6	14	23	9
ENSG00000142606	2	2	8	9	3
ENSG00000225931	50	30	15	14	10
ENSG00000171729	21	5	52	87	62
ENSG00000279457	48	30	180	247	251
ENSG00000229393	1	0	1	0	0
ENSG00000037637	887	827	922	855	800
ENSG00000287586	0	0	0	0	0
ENSG00000159423	318	107	916	867	918
ENSG00000227169	0	0	0	0	0
ENSG00000283356	0	0	0	0	0
ENSG00000157916	1344	1054	2815	2818	2665
ENSG00000157881	412	243	1385	1491	1317
ENSG00000238290	2	0	0	0	1
ENSG00000225387	0	0	0	0	0
ENSG00000048707	757	755	520	519	448
ENSG00000225196	0	0	0	0	0
ENSG00000162444	4	3	0	0	0
ENSG00000279625	0	0	0	0	0
ENSG00000180758	498	529	338	328	316
ENSG00000184677	761	861	1444	1481	1277
ENSG00000288398	34	43	42	32	47
ENSG00000224621	1	2	0	0	0
ENSG00000285833	0	0	0	0	0
ENSG00000131697	191	253	563	578	503
ENSG00000284692	0	0	0	0	0
ENSG00000284745	0	0	0	0	0
ENSG00000280222	0	0	0	0	0
ENSG00000285945	1	2	1	3	1
ENSG00000197921	1	1	0	0	0
ENSG00000233755	0	0	0	1	1
ENSG00000233929	0	0	1	3	0
ENSG00000234166	0	0	0	0	0
ENSG00000235282	0	0	0	0	0
ENSG00000055070	2716	2218	5555	5578	5240
ENSG00000175087	271	217	367	348	312
ENSG00000230035	0	0	0	0	0
ENSG00000225643	1	9	1	5	0
ENSG00000284666	0	0	0	0	0
ENSG00000228943	0	0	0	0	0
ENSG00000234397	0	1	0	0	0
ENSG00000284309	0	0	0	0	0
ENSG00000162511	13083	14370	30215	29349	28082
ENSG00000158014	0	1	1	0	0
ENSG00000204138	768	699	790	725	652
ENSG00000233419	0	0	0	0	0
ENSG00000235263	0	0	0	0	0
ENSG00000228176	0	0	0	0	0
ENSG00000231251	0	0	0	0	0
ENSG00000142675	98	36	36	40	36
ENSG00000197245	0	0	0	0	0
ENSG00000130772	322	274	816	769	745
ENSG00000215899	1	1	0	0	0
ENSG00000271398	4	2	5	2	1
ENSG00000225011	0	0	0	0	0
ENSG00000235069	0	0	0	0	0
ENSG00000284676	0	0	0	0	0
ENSG00000237058	2	1	0	0	0
ENSG00000233399	0	0	0	0	0
ENSG00000090020	320	226	445	519	463
ENSG00000157978	197	210	1070	1145	967
ENSG00000130770	2322	1231	2518	2317	1962
ENSG00000229044	1	2	0	0	0
ENSG00000162512	6	23	1	3	1
ENSG00000158006	182	214	223	222	203
ENSG00000214812	1	0	0	0	0
ENSG00000126698	2056	2333	4768	4685	4259
ENSG00000229447	14	21	2	4	0
ENSG00000229607	0	0	0	0	0
ENSG00000130766	507	298	1099	1064	993
ENSG00000168528	19	12	12	8	11
ENSG00000196581	0	3	0	0	1
ENSG00000169403	399	612	16	19	9
ENSG00000084628	0	1	0	0	0
ENSG00000060688	1088	1058	2306	2159	1924
ENSG00000171612	306	380	888	913	886
ENSG00000270927	0	0	0	0	0
ENSG00000188910	0	0	0	0	0
ENSG00000230523	0	0	0	0	0
ENSG00000158161	992	1127	1033	1024	977
ENSG00000142684	0	0	0	0	0
ENSG00000121769	185	94	24	24	19
ENSG00000142627	6	2	0	1	4
ENSG00000284668	2	0	0	0	0
ENSG00000233234	0	0	0	0	0
ENSG00000142632	36	28	43	50	47
ENSG00000234593	0	0	0	0	0
ENSG00000270605	172	164	243	211	165
ENSG00000189337	65	79	1624	1472	1544
ENSG00000235143	0	0	0	0	0
ENSG00000225478	0	0	0	0	0
ENSG00000028137	1480	1070	3382	3102	3214
ENSG00000204464	0	0	0	0	0
ENSG00000233372	0	0	0	0	0
ENSG00000283259	0	2	1	3	0
ENSG00000284543	12	20	1	4	2
ENSG00000130939	967	988	1498	1426	1274
ENSG00000175147	0	0	0	1	0
ENSG00000127472	9	7	0	4	1
ENSG00000060656	1	2	25	16	24
ENSG00000163867	475	417	203	243	253
ENSG00000232768	8	10	0	0	1
ENSG00000230214	0	0	0	0	0
ENSG00000189280	0	1	2	0	0
ENSG00000134698	400	446	270	263	224
ENSG00000272420	7	2	0	0	0
ENSG00000132881	45	22	51	60	66
ENSG00000273274	3	6	0	1	1
ENSG00000236648	0	0	0	0	0
ENSG00000232273	12	16	0	0	0
ENSG00000009709	1	0	2	0	0
ENSG00000287396	0	0	0	0	0
ENSG00000158008	0	1	4	0	0
ENSG00000130940	56	43	369	360	339
ENSG00000163879	4	8	1	1	1
ENSG00000227527	0	1	3	13	6
ENSG00000116954	329	356	382	340	327
ENSG00000228589	155	102	76	106	131
ENSG00000163873	0	0	0	0	0
ENSG00000117215	24	12	31	13	17
ENSG00000230163	0	0	0	0	0
ENSG00000227538	0	0	0	1	0
ENSG00000044012	0	0	0	0	0
ENSG00000179051	3004	2926	6153	6271	5678
ENSG00000215895	2	0	4	6	5
ENSG00000284650	0	0	0	0	0
ENSG00000237329	3	8	0	0	0
ENSG00000236948	0	4	0	1	0
ENSG00000126067	2571	2638	7193	6916	6129
ENSG00000274944	1	1	0	0	0
ENSG00000272078	4	4	29	31	25
ENSG00000230451	0	0	0	0	0
ENSG00000231606	0	0	0	1	0
ENSG00000215900	0	1	0	0	0
ENSG00000284632	1	0	0	0	0
ENSG00000241014	11	9	1	3	3
ENSG00000054118	3512	3214	4083	4029	3655
ENSG00000254553	1	0	0	1	0
ENSG00000284653	0	0	0	0	0
ENSG00000237749	9	11	9	7	3
ENSG00000276747	0	0	0	0	0
ENSG00000284705	0	0	0	0	0
ENSG00000228776	1	0	0	0	1
ENSG00000159339	2	4	10	11	8
ENSG00000261781	0	0	0	0	0
ENSG00000284743	0	0	0	0	0
ENSG00000158315	5	16	1	2	0
ENSG00000186973	0	0	0	0	0
ENSG00000146463	1131	1174	881	818	763
ENSG00000271741	0	0	0	0	0
ENSG00000142686	320	273	740	758	699
ENSG00000224751	8	12	0	0	0
ENSG00000117148	1	2	0	2	2
ENSG00000230585	11	19	0	6	3
